bins,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"(-0.089, 3.87]",217143.62427745663,0.24277456647398843,2012.450867052023,0.3930635838150289,0.6639595375722543,0.7109537572254335,5.121387283236994,-5.680913294797688,0.6069364161849711,0.09671271676300579,0.12992604739884395,0.02624392138728324,0.17656473988439306,0.5296838150289017,119.93468208092486
"(3.87, 7.739]",222512.5,0.3333333333333333,2013.8333333333333,4.833333333333333,0.6885,0.5703333333333334,5.833333333333333,-5.858833333333333,0.8333333333333334,0.05483333333333334,0.18260333333333334,0.000200875,0.1666,0.5141666666666667,122.205
"(7.739, 11.609]",203427.0,0.5,2010.5,9.5,0.819,0.6745000000000001,0.0,-5.747999999999999,0.5,0.0691,0.2805,6e-07,0.10295,0.46399999999999997,101.5025
"(11.609, 15.478]",,,,,,,,,,,,,,,
"(15.478, 19.348]",197533.0,0.3333333333333333,2006.6666666666667,17.0,0.7846666666666667,0.6849999999999999,7.0,-5.376333333333332,0.6666666666666666,0.07253333333333334,0.21766666666666667,0.009666666666666667,0.08283333333333333,0.6203333333333333,117.30566666666668
"(19.348, 23.217]",230153.0,0.5,2009.0,21.0,0.616,0.6965,4.5,-5.7225,0.0,0.033850000000000005,0.17625000000000002,0.0215,0.16899999999999998,0.6695,109.03
"(23.217, 27.087]",227602.4,0.0,2006.4,26.0,0.7548,0.7806,5.6,-4.3964,0.4,0.0744,0.079512,0.002830554,0.25846,0.7527999999999999,115.59559999999999
"(27.087, 30.957]",241599.66666666666,0.0,2014.0,29.333333333333332,0.6696666666666666,0.6749999999999999,4.0,-5.233,0.3333333333333333,0.062266666666666665,0.10783333333333334,1.1233333333333333e-06,0.49300000000000005,0.46799999999999997,120.28266666666667
"(30.957, 34.826]",209582.33333333334,0.0,2009.8333333333333,33.0,0.6934999999999999,0.7721666666666667,7.0,-6.508333333333333,0.16666666666666666,0.10010000000000001,0.11358833333333333,0.00833005,0.2916666666666667,0.5258333333333333,110.85933333333332
"(34.826, 38.696]",229509.66666666666,0.0,2007.25,36.083333333333336,0.595,0.7498333333333332,6.25,-5.295583333333333,0.6666666666666666,0.07646666666666667,0.17270623333333335,0.004840984166666667,0.17695833333333333,0.5808333333333333,116.93316666666668
"(38.696, 42.565]",220110.0,0.36363636363636365,2008.3181818181818,40.72727272727273,0.718,0.7011363636363637,4.7727272727272725,-5.895818181818182,0.5909090909090909,0.15365,0.10735772727272729,0.027938946363636363,0.1489,0.5126318181818182,124.93722727272728
"(42.565, 46.435]",217863.3125,0.09375,2008.0,45.0,0.66140625,0.77,5.84375,-5.0986875,0.40625,0.076553125,0.095393125,0.036292742499999996,0.235359375,0.5786875,121.9914375
"(46.435, 50.304]",239149.9411764706,0.27941176470588236,2007.3088235294117,48.470588235294116,0.6729705882352941,0.74275,4.985294117647059,-5.655661764705882,0.5882352941176471,0.10410294117647058,0.11753594117647059,0.030204035588235294,0.18538676470588233,0.5725455882352941,116.93810294117647
"(50.304, 54.174]",242040.1855670103,0.28865979381443296,2007.0824742268042,52.75257731958763,0.645618556701031,0.7467525773195877,5.34020618556701,-5.847175257731959,0.5051546391752577,0.11622164948453609,0.11190447422680413,0.01843420350515464,0.19629690721649484,0.5835185567010309,117.156793814433
"(54.174, 58.043]",236383.45762711865,0.24293785310734464,2006.0338983050847,56.632768361581924,0.674,0.7312485875706215,5.536723163841808,-5.5833841807909605,0.6045197740112994,0.10470621468926554,0.12373029378531074,0.016453747627118643,0.17110790960451977,0.5933446327683616,117.50086440677966
"(58.043, 61.913]",231785.91666666666,0.2948717948717949,2006.2371794871794,60.05769230769231,0.6761794871794872,0.7207051282051281,5.519230769230769,-5.672929487179487,0.532051282051282,0.10327371794871795,0.1240862641025641,0.01418533705128205,0.1823801282051282,0.588224358974359,119.10650000000001
"(61.913, 65.783]",227783.36864406778,0.2033898305084746,2008.2330508474577,63.57203389830509,0.6640974576271187,0.735225,5.279661016949152,-5.302610169491525,0.5296610169491526,0.0996436440677966,0.12330657033898304,0.010555867627118644,0.1845677966101695,0.5651224576271187,121.36953813559322
"(65.783, 69.652]",233699.84615384616,0.30036630036630035,2009.2820512820513,67.62637362637362,0.6692893772893773,0.723908424908425,5.725274725274725,-5.396706959706959,0.5347985347985348,0.1101989010989011,0.11310292783882785,0.015323735604395605,0.18546703296703296,0.5588391941391941,123.41271428571429
"(69.652, 73.522]",228204.631147541,0.3237704918032787,2010.5,71.59016393442623,0.6700491803278689,0.7187454918032786,5.422131147540983,-5.378848360655738,0.5614754098360656,0.11434754098360655,0.12762002254098362,0.016645952827868852,0.18548524590163934,0.5408577868852459,119.35384836065573
"(73.522, 77.391]",227753.13765182186,0.31983805668016196,2011.2024291497976,75.4412955465587,0.6566032388663968,0.7135546558704453,5.17004048582996,-5.483372469635627,0.5425101214574899,0.09850445344129555,0.12742416315789473,0.00998742987854251,0.17180688259109314,0.508563967611336,122.04085020242916
"(77.391, 81.261]",219970.29824561405,0.27485380116959063,2012.6608187134502,79.27485380116958,0.6706842105263158,0.7057719298245614,5.380116959064328,-5.37187134502924,0.5672514619883041,0.0977345029239766,0.15332493567251462,0.006678692105263158,0.17112280701754387,0.5265561403508772,120.43863157894738
"(81.261, 85.13]",223164.7068965517,0.3275862068965517,2013.0689655172414,83.0,0.6768620689655173,0.6495,5.0344827586206895,-6.132034482758621,0.6206896551724138,0.10181379310344828,0.2117998275862069,0.010521395862068964,0.1784137931034483,0.5293448275862069,114.56825862068965
"(85.13, 89.0]",236595.7142857143,0.42857142857142855,2011.2857142857142,86.85714285714286,0.6257142857142857,0.5672857142857143,5.285714285714286,-6.272857142857142,0.2857142857142857,0.04271428571428571,0.3832371428571429,0.0025337,0.10887142857142858,0.409,113.59071428571428
