year,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1998,215466.0,1.0,49.0,0.727,0.445,1.0,-11.241,1.0,0.291,0.339,0.0,0.18,0.527,81.125
1999,253384.63157894736,0.21052631578947367,64.92105263157895,0.6689736842105263,0.7384210526315789,5.131578947368421,-5.936815789473684,0.5526315789473685,0.06722368421052631,0.1436884605263158,0.009171851578947367,0.1656,0.5740078947368421,122.705
2000,249993.06756756757,0.16216216216216217,58.554054054054056,0.6898243243243243,0.7482567567567567,5.148648648648648,-6.2013783783783785,0.5405405405405406,0.07755675675675676,0.1183389054054054,0.0304290977027027,0.1805216216216216,0.647972972972973,112.92704054054055
2001,242450.0648148148,0.21296296296296297,59.407407407407405,0.6741296296296296,0.7246305555555556,5.2407407407407405,-5.8792129629629635,0.5185185185185185,0.10744537037037037,0.1450597962962963,0.02133991064814815,0.17366851851851853,0.6610407407407407,117.48707407407407
2002,253549.07777777777,0.3333333333333333,62.4,0.6752444444444444,0.7225666666666667,5.644444444444445,-5.471333333333334,0.5111111111111111,0.12422,0.14403338777777777,0.010083410222222223,0.19284666666666667,0.5751555555555556,113.28091111111111
2003,236334.63917525773,0.23711340206185566,58.79381443298969,0.6648762886597938,0.7014845360824742,5.268041237113402,-5.797020618556702,0.5567010309278351,0.11711340206185566,0.18355584742268038,0.03800591381443299,0.1631701030927835,0.6076319587628866,119.08140206185567
2004,234039.84375,0.375,58.427083333333336,0.6968333333333333,0.7346979166666667,5.760416666666667,-5.233708333333333,0.5416666666666666,0.12580208333333334,0.11334227083333333,0.01584239364583333,0.17965520833333334,0.60888125,114.76847916666667
2005,236514.28846153847,0.27884615384615385,61.75961538461539,0.6729230769230768,0.701048076923077,5.0,-5.928894230769231,0.5480769230769231,0.12788557692307692,0.12295472115384615,0.018278366249999997,0.18756634615384618,0.5530769230769231,118.74568269230768
2006,238148.4,0.2736842105263158,57.38947368421053,0.6608631578947369,0.7053473684210526,5.326315789473684,-5.673336842105263,0.6631578947368421,0.1164442105263158,0.11902723157894737,0.0019157307368421052,0.19766421052631578,0.6012736842105263,114.58133684210527
2007,231749.90425531915,0.23404255319148937,59.92553191489362,0.6305212765957446,0.7671489361702127,5.5,-4.994904255319149,0.5957446808510638,0.1094968085106383,0.1168926670212766,0.012668721382978724,0.1836223404255319,0.5594989361702127,121.06696808510638
2008,235675.2474226804,0.23711340206185566,63.72164948453608,0.6641855670103093,0.752319587628866,5.164948453608248,-5.183257731958763,0.5051546391752577,0.08745979381443299,0.07425589896907217,0.024706157731958764,0.17374742268041238,0.5486855670103092,126.25156701030927
2009,236082.05952380953,0.27380952380952384,61.535714285714285,0.6251666666666666,0.754702380952381,5.607142857142857,-4.979785714285715,0.6666666666666666,0.08814285714285715,0.11602455952380952,0.027654313214285714,0.2141404761904762,0.5689309523809524,124.43936904761904
2010,220804.738317757,0.21495327102803738,60.74766355140187,0.6610747663551402,0.773803738317757,5.700934579439252,-4.862457943925234,0.5327102803738317,0.09891495327102803,0.09976865794392524,0.009651235140186915,0.19861495327102804,0.5729102803738317,120.92595327102804
2011,228739.62626262626,0.25252525252525254,58.56565656565657,0.6344040404040404,0.7555959595959596,5.585858585858586,-5.163777777777778,0.5858585858585859,0.09155555555555556,0.11182363636363636,0.017302018484848487,0.17476363636363637,0.5322585858585859,125.78055555555555
2012,224045.01739130434,0.16521739130434782,60.55652173913043,0.6373652173913044,0.7689826086956523,5.043478260869565,-4.82704347826087,0.5391304347826087,0.07876956521739131,0.08586855652173912,0.014996566173913043,0.21733913043478262,0.5661243478260869,120.94397391304348
2013,230661.44943820225,0.2247191011235955,54.78651685393258,0.6326404494382022,0.7118415730337079,5.235955056179775,-5.802056179775281,0.5617977528089888,0.08676179775280898,0.10005934831460674,0.009205281460674158,0.19086629213483144,0.4868280898876404,121.85501123595505
2014,220578.0,0.19230769230769232,59.38461538461539,0.6619326923076922,0.7243653846153847,5.423076923076923,-5.431413461538461,0.5865384615384616,0.07270192307692308,0.11801840384615384,0.010313214999999999,0.18763173076923076,0.5069134615384615,121.94045192307694
2015,218380.63636363635,0.29292929292929293,57.74747474747475,0.6512626262626262,0.6895959595959595,5.585858585858586,-5.648000000000001,0.5050505050505051,0.0861060606060606,0.1343490303030303,0.023110017171717175,0.17651515151515154,0.48669797979797985,118.55082828282828
2016,220020.24242424243,0.32323232323232326,54.17171717171717,0.6707070707070708,0.6759797979797979,5.545454545454546,-5.878212121212121,0.5555555555555556,0.10547171717171717,0.1506058585858586,0.011186778787878788,0.15831717171717172,0.48276363636363634,120.75286868686868
2017,212327.1891891892,0.3333333333333333,53.88288288288288,0.6937387387387387,0.6893513513513514,5.261261261261262,-5.561846846846847,0.4594594594594595,0.11434054054054055,0.12154822522522524,0.006002445135135135,0.15490540540540543,0.48555315315315317,120.09881981981981
2018,209554.79439252336,0.4766355140186916,70.85046728971963,0.72503738317757,0.642196261682243,5.514018691588785,-5.863205607476636,0.5607476635514018,0.12151869158878505,0.2080842336448598,0.006387739813084112,0.16345607476635513,0.467214953271028,119.22027102803737
2019,196728.77528089887,0.4157303370786517,63.01123595505618,0.7197640449438202,0.6639213483146067,5.235955056179775,-5.869415730337079,0.5842696629213483,0.14405280898876405,0.18874873033707865,0.0036518596629213484,0.16158089887640448,0.5355280898876404,127.95298876404495
2020,217395.66666666666,0.6666666666666666,43.333333333333336,0.7453333333333333,0.785,3.6666666666666665,-4.925333333333334,0.0,0.10559999999999999,0.14693333333333333,0.002194533333333333,0.255,0.5403333333333333,128.143
